IATA_CODE,AIRLINE,,,,,,,
WN,Southwest Airlines Co.,,,,,,,
YV,Mesa Airlines,,,,,,,
YX,Republic Airlines,,,,,,,
EV,ExpressJet Airlines ,,,,,,,
AS,Alaska Airlines Inc.,,,,,,,
OH,PSA Airlines,,,,,,,
UA,United Air Lines Inc.,,,,,,,
MQ,American Eagle Airlines Inc.,,,,,,,
DL,Delta Air Lines Inc.,,,,,,,
AA,American Airlines Inc.,,,,,,,
OO,Skywest Airlines Inc.,,,,,,,
9E,Endeavor Air,,,,,,,
B6,JetBlue Airways,,,,,,,
F9,Frontier Airlines Inc.,,,,,,,
NK,Spirit Air Lines,,,,,,,
G4,Allegiant Air,,,,,,,